"Ticket";"Symbol";"Type";"Open price";"Close price";"Open time";"Close time";"Size";"Profit/Loss";"Stop Loss price level";"Profit Target price level";"Balance";"Slippage ($)";"Sample type";"Close type";"Time in trade";"Comm/Swap"
"1";"USTEC_ICM_UTC2";"Buy";"12871.5";"12761.5";"2021.01.04 17:45:00";"2021.01.04 18:00:00";"20.0";"-2200.00";"12761.50000";"12954.00000";"47800.00";"0.00";"OOS1";"SL";"15m 0s";"-0.00"
"2";"USTEC_ICM_UTC2";"Buy";"12757.3";"12839.8";"2021.01.05 16:45:00";"2021.01.06 02:15:00";"20.0";"1527.92";"12647.29980";"12839.79980";"49327.92";"0.00";"OOS1";"PT";"9h 30m";"-122.08"
"3";"USTEC_ICM_UTC2";"Buy";"12710.4";"12792.9";"2021.01.06 17:30:00";"2021.01.06 18:15:00";"20.0";"1650.00";"12600.40039";"12792.90039";"50977.92";"0.00";"OOS1";"PT";"45m 0s";"-0.00"
"4";"USTEC_ICM_UTC2";"Buy";"12985.8";"12875.8";"2021.01.11 18:00:00";"2021.01.12 16:45:00";"20.0";"-2322.08";"12875.79980";"13068.29980";"48655.84";"0.00";"OOS1";"SL";"22h 45m";"-122.08"
"5";"USTEC_ICM_UTC2";"Buy";"12898.9";"12788.9";"2021.01.12 18:00:00";"2021.01.12 19:15:00";"20.0";"-2200.00";"12788.90039";"12981.40039";"46455.84";"0.00";"OOS1";"SL";"1h 15m";"-0.00"
"6";"USTEC_ICM_UTC2";"Buy";"12856.2";"12938.7";"2021.01.13 15:30:00";"2021.01.13 16:45:00";"20.0";"1650.00";"12746.20020";"12938.70020";"48105.84";"0.00";"OOS1";"PT";"1h 15m";"-0.00"
"7";"USTEC_ICM_UTC2";"Buy";"12978.8";"12868.8";"2021.01.14 20:15:00";"2021.01.15 07:15:00";"20.0";"-2322.08";"12868.79980";"13061.29980";"45783.76";"0.00";"OOS1";"SL";"11h 0m";"-122.08"
"8";"USTEC_ICM_UTC2";"Buy";"12824.6";"12807.9";"2021.01.15 17:45:00";"2021.01.15 23:00:00";"20.0";"-333.98";"12714.59961";"12907.09961";"45449.78";"0.00";"OOS1";"End Of Friday (Time)";"5h 15m";"-0.00"
"9";"USTEC_ICM_UTC2";"Buy";"12898.9";"12981.4";"2021.01.19 17:45:00";"2021.01.19 20:15:00";"20.0";"1650.00";"12788.90039";"12981.40039";"47099.78";"0.00";"OOS1";"PT";"2h 30m";"-0.00"
"10";"USTEC_ICM_UTC2";"Buy";"13393.9";"13364.9";"2021.01.21 18:00:00";"2021.01.22 23:00:00";"20.0";"-702.08";"13283.90039";"13476.40039";"46397.70";"0.00";"OOS1";"End Of Friday (Time)";"1d 5h 0m";"-122.08"
"11";"USTEC_ICM_UTC2";"Buy";"13499.9";"13389.9";"2021.01.25 15:30:00";"2021.01.25 17:45:00";"20.0";"-2200.00";"13389.90039";"13582.40039";"44197.70";"0.00";"OOS1";"SL";"2h 15m";"-0.00"
