"Ticket";"Symbol";"Type";"Open price";"Close price";"Open time";"Close time";"Size";"Profit/Loss";"Stop Loss price level";"Profit Target price level";"Balance";"Slippage ($)";"Sample type";"Close type";"Time in trade";"Comm/Swap"
"1";"USTEC_ICM_UTC2";"Buy";"4221.8";"4232.6";"2015.01.02 19:45:00";"2015.01.02 22:55:00";"30.0";"324.00";"4139.29980";"4304.29980";"50324.00";"0.00";"IST";"End Of Friday (Time)";"3h 10m";"-0.00"
"2";"USTEC_ICM_UTC2";"Buy";"4160.9";"4243.4";"2015.01.05 22:30:00";"2015.01.08 20:07:00";"30.0";"1925.64";"4078.39990";"4243.39990";"52249.64";"0.00";"IST";"PT";"2d 21h 37m";"-549.36"
"3";"USTEC_ICM_UTC2";"Buy";"4246.9";"4216.9";"2015.01.08 20:30:00";"2015.01.09 22:55:00";"30.0";"-1083.12";"4164.39990";"4329.39990";"51166.52";"0.00";"IST";"End Of Friday (Time)";"1d 2h 25m";"-183.12"
"4";"USTEC_ICM_UTC2";"Buy";"4188.9";"4106.4";"2015.01.12 18:00:00";"2015.01.15 11:51:00";"30.0";"-3024.36";"4106.39990";"4271.39990";"48142.16";"0.00";"IST";"SL";"2d 17h 51m";"-549.36"
"5";"USTEC_ICM_UTC2";"Buy";"4101.9";"4141.0";"2015.01.15 21:30:00";"2015.01.16 22:55:00";"30.0";"989.88";"4019.39990";"4184.39990";"49132.04";"0.00";"IST";"End Of Friday (Time)";"1d 1h 25m";"-183.12"
"6";"USTEC_ICM_UTC2";"Buy";"4142.4";"4224.9";"2015.01.20 20:00:00";"2015.01.22 15:41:00";"30.0";"2108.76";"4059.89990";"4224.89990";"51240.80";"0.00";"IST";"PT";"1d 19h 41m";"-366.24"
"7";"USTEC_ICM_UTC2";"Buy";"4234.8";"4273.9";"2015.01.22 18:00:00";"2015.01.23 22:55:00";"30.0";"989.88";"4152.29980";"4317.29980";"52230.68";"0.00";"IST";"End Of Friday (Time)";"1d 4h 55m";"-183.12"
"8";"USTEC_ICM_UTC2";"Buy";"4174.2";"4149.5";"2015.01.27 18:30:00";"2015.01.30 22:55:00";"30.0";"-1290.36";"4091.69995";"4256.70020";"50940.32";"0.00";"IST";"End Of Friday (Time)";"3d 4h 25m";"-549.36"
"9";"USTEC_ICM_UTC2";"Buy";"4164.3";"4246.8";"2015.02.02 18:45:00";"2015.02.04 22:30:00";"30.0";"2109.63";"4081.80005";"4246.79980";"53049.95";"0.00";"IST";"PT";"2d 3h 45m";"-366.24"
"10";"USTEC_ICM_UTC2";"Buy";"4232.5";"4224.7";"2015.02.05 17:15:00";"2015.02.06 22:55:00";"30.0";"-417.12";"4150.00000";"4315.00000";"52632.83";"0.00";"IST";"End Of Friday (Time)";"1d 5h 40m";"-183.12"
