"Ticket";"Symbol";"Type";"Open price";"Close price";"Open time";"Close time";"Size";"Profit/Loss";"Stop Loss price level";"Profit Target price level";"Balance";"Slippage ($)";"Sample type";"Close type";"Time in trade";"Comm/Swap"
"1";"USTEC_ICM_UTC2";"Buy";"4272.6";"4232.6";"2015.01.02 16:45:00";"2015.01.02 22:55:00";"30.0";"-1200.00";"4190.10010";"4355.10010";"48800.00";"0.00";"IST";"End Of Friday (Time)";"6h 10m";"-0.00"
"2";"USTEC_ICM_UTC2";"Buy";"4153.0";"4235.5";"2015.01.05 22:00:00";"2015.01.08 17:59:00";"30.0";"1925.64";"4070.50000";"4235.50000";"50725.64";"0.00";"IST";"PT";"2d 19h 59m";"-549.36"
"3";"USTEC_ICM_UTC2";"Buy";"4235.9";"4216.9";"2015.01.08 18:45:00";"2015.01.09 22:55:00";"30.0";"-753.12";"4153.39990";"4318.39990";"49972.52";"0.00";"IST";"End Of Friday (Time)";"1d 4h 10m";"-183.12"
"4";"USTEC_ICM_UTC2";"Buy";"4177.8";"4095.3";"2015.01.12 19:45:00";"2015.01.15 19:44:00";"30.0";"-3024.36";"4095.30005";"4260.29980";"46948.16";"0.00";"IST";"SL";"2d 23h 59m";"-549.36"
"5";"USTEC_ICM_UTC2";"Buy";"4100.9";"4141.0";"2015.01.15 22:15:00";"2015.01.16 22:55:00";"30.0";"1019.88";"4018.39990";"4183.39990";"47968.04";"0.00";"IST";"End Of Friday (Time)";"1d 0h 40m";"-183.12"
"6";"USTEC_ICM_UTC2";"Buy";"4153.9";"4236.4";"2015.01.19 17:00:00";"2015.01.22 18:24:00";"30.0";"1925.64";"4071.39990";"4236.39990";"49893.68";"0.00";"IST";"PT";"3d 1h 24m";"-549.36"
"7";"USTEC_ICM_UTC2";"Buy";"4238.9";"4273.9";"2015.01.22 18:30:00";"2015.01.23 22:55:00";"30.0";"866.88";"4156.39990";"4321.39990";"50760.56";"0.00";"IST";"End Of Friday (Time)";"1d 4h 25m";"-183.12"
"8";"USTEC_ICM_UTC2";"Buy";"4271.8";"4189.3";"2015.01.26 19:30:00";"2015.01.27 16:35:00";"30.0";"-2658.12";"4189.29980";"4354.29980";"48102.44";"0.00";"IST";"SL";"21h 5m";"-183.12"
"9";"USTEC_ICM_UTC2";"Buy";"4185.1";"4102.6";"2015.01.27 17:00:00";"2015.01.29 16:51:00";"30.0";"-2841.24";"4102.60010";"4267.60010";"45261.20";"0.00";"IST";"SL";"1d 23h 51m";"-366.24"
"10";"USTEC_ICM_UTC2";"Buy";"4132.4";"4149.5";"2015.01.29 17:30:00";"2015.01.30 22:55:00";"30.0";"329.88";"4049.89990";"4214.89990";"45591.08";"0.00";"IST";"End Of Friday (Time)";"1d 5h 25m";"-183.12"
"11";"USTEC_ICM_UTC2";"Buy";"4152.6";"4235.1";"2015.02.02 19:30:00";"2015.02.04 18:34:00";"30.0";"2108.76";"4070.10010";"4235.10010";"47699.84";"0.00";"IST";"PT";"1d 23h 4m";"-366.24"
"12";"USTEC_ICM_UTC2";"Buy";"4239.2";"4224.7";"2015.02.05 17:30:00";"2015.02.06 22:55:00";"30.0";"-618.12";"4156.70020";"4321.70020";"47081.72";"0.00";"IST";"End Of Friday (Time)";"1d 5h 25m";"-183.12"
"13";"USTEC_ICM_UTC2";"Buy";"4211.6";"4294.1";"2015.02.09 16:30:00";"2015.02.11 16:41:00";"30.0";"2108.76";"4129.10010";"4294.10010";"49190.48";"0.00";"IST";"PT";"2d 0h 11m";"-366.24"
"14";"USTEC_ICM_UTC2";"Buy";"4293.4";"4375.9";"2015.02.11 17:30:00";"2015.02.13 22:08:00";"30.0";"2108.76";"4210.89990";"4375.89990";"51299.24";"0.00";"IST";"PT";"2d 4h 38m";"-366.24"
"15";"USTEC_ICM_UTC2";"Buy";"4382.9";"4437.8";"2015.02.16 16:30:00";"2015.02.20 22:55:00";"30.0";"914.52";"4300.39990";"4465.39990";"52213.76";"0.00";"IST";"End Of Friday (Time)";"4d 6h 25m";"-732.48"
"16";"USTEC_ICM_UTC2";"Buy";"4442.4";"4437.8";"2015.02.23 17:00:00";"2015.02.27 22:55:00";"30.0";"-870.48";"4359.89990";"4524.89990";"51343.28";"0.00";"IST";"End Of Friday (Time)";"4d 5h 55m";"-732.48"
"17";"USTEC_ICM_UTC2";"Buy";"4459.9";"4395.5";"2015.03.03 17:15:00";"2015.03.06 22:55:00";"30.0";"-2481.36";"4377.39990";"4542.39990";"48861.92";"0.00";"IST";"End Of Friday (Time)";"3d 5h 40m";"-549.36"
"18";"USTEC_ICM_UTC2";"Buy";"4406.0";"4323.5";"2015.03.09 16:45:00";"2015.03.11 15:40:00";"30.0";"-2841.24";"4323.50000";"4488.50000";"46020.68";"0.00";"IST";"SL";"1d 22h 55m";"-366.24"
"19";"USTEC_ICM_UTC2";"Buy";"4329.3";"4312.7";"2015.03.11 18:15:00";"2015.03.13 22:55:00";"30.0";"-864.24";"4246.79980";"4411.79980";"45156.44";"0.00";"IST";"End Of Friday (Time)";"2d 4h 40m";"-366.24"
"20";"USTEC_ICM_UTC2";"Buy";"4356.1";"4438.6";"2015.03.16 17:00:00";"2015.03.18 21:15:00";"30.0";"2108.76";"4273.60010";"4438.60010";"47265.20";"0.00";"IST";"PT";"2d 4h 15m";"-366.24"
"21";"USTEC_ICM_UTC2";"Buy";"4432.7";"4454.6";"2015.03.19 20:15:00";"2015.03.20 22:55:00";"30.0";"473.88";"4350.20020";"4515.20020";"47739.08";"0.00";"IST";"End Of Friday (Time)";"1d 2h 40m";"-183.12"
"22";"USTEC_ICM_UTC2";"Buy";"4464.6";"4382.1";"2015.03.23 20:15:00";"2015.03.25 17:34:00";"30.0";"-2841.24";"4382.10010";"4547.10010";"44897.84";"0.00";"IST";"SL";"1d 21h 19m";"-366.24"
"23";"USTEC_ICM_UTC2";"Buy";"4352.9";"4332.9";"2015.03.25 21:00:00";"2015.03.27 22:55:00";"30.0";"-966.24";"4270.39990";"4435.39990";"43931.60";"0.00";"IST";"End Of Friday (Time)";"2d 1h 55m";"-366.24"
"24";"USTEC_ICM_UTC2";"Buy";"4373.0";"4290.5";"2015.03.30 19:15:00";"2015.04.01 03:55:00";"30.0";"-2841.24";"4290.50000";"4455.50000";"41090.36";"0.00";"IST";"SL";"1d 8h 40m";"-366.24"
"25";"USTEC_ICM_UTC2";"Buy";"4303.0";"4385.5";"2015.04.01 19:00:00";"2015.04.09 00:13:00";"30.0";"1010.04";"4220.50000";"4385.50000";"42100.40";"0.00";"IST";"PT";"7d 5h 13m";"-1464.96"
"26";"USTEC_ICM_UTC2";"Buy";"4385.0";"4419.7";"2015.04.09 21:15:00";"2015.04.10 22:55:00";"30.0";"857.88";"4302.50000";"4467.50000";"42958.28";"0.00";"IST";"End Of Friday (Time)";"1d 1h 40m";"-183.12"
"27";"USTEC_ICM_UTC2";"Buy";"4443.5";"4361.0";"2015.04.13 17:45:00";"2015.04.17 16:45:00";"30.0";"-3207.48";"4361.00000";"4526.00000";"39750.80";"0.00";"IST";"SL";"3d 23h 0m";"-732.48"
"28";"USTEC_ICM_UTC2";"Buy";"4356.2";"4350.7";"2015.04.17 20:00:00";"2015.04.17 22:55:00";"30.0";"-165.00";"4273.70020";"4438.70020";"39585.80";"0.00";"IST";"End Of Friday (Time)";"2h 55m";"-0.00"
"29";"USTEC_ICM_UTC2";"Buy";"4408.8";"4491.3";"2015.04.20 18:00:00";"2015.04.23 21:21:00";"30.0";"1925.64";"4326.29980";"4491.29980";"41511.44";"0.00";"IST";"PT";"3d 3h 21m";"-549.36"
"30";"USTEC_ICM_UTC2";"Buy";"4488.3";"4537.0";"2015.04.23 22:00:00";"2015.04.24 22:55:00";"30.0";"1277.88";"4405.79980";"4570.79980";"42789.32";"0.00";"IST";"End Of Friday (Time)";"1d 0h 55m";"-183.12"
"31";"USTEC_ICM_UTC2";"Buy";"4561.0";"4478.5";"2015.04.27 17:00:00";"2015.04.29 19:12:00";"30.0";"-2841.24";"4478.50000";"4643.50000";"39948.08";"0.00";"IST";"SL";"2d 2h 12m";"-366.24"
"32";"USTEC_ICM_UTC2";"Buy";"4496.9";"4414.4";"2015.04.29 21:30:00";"2015.04.30 21:31:00";"30.0";"-2658.12";"4414.39990";"4579.39990";"37289.96";"0.00";"IST";"SL";"1d 0h 1m";"-183.12"
"33";"USTEC_ICM_UTC2";"Buy";"4447.5";"4475.5";"2015.05.01 17:15:00";"2015.05.01 22:55:00";"30.0";"840.00";"4365.00000";"4530.00000";"38129.96";"0.00";"IST";"End Of Friday (Time)";"5h 40m";"-0.00"
"34";"USTEC_ICM_UTC2";"Buy";"4384.3";"4461.2";"2015.05.06 19:30:00";"2015.05.08 22:55:00";"30.0";"1940.76";"4301.79980";"4466.79980";"40070.72";"0.00";"IST";"End Of Friday (Time)";"2d 3h 25m";"-366.24"
"35";"USTEC_ICM_UTC2";"Buy";"4459.8";"4490.9";"2015.05.11 17:00:00";"2015.05.15 22:55:00";"30.0";"200.52";"4377.29980";"4542.29980";"40271.24";"0.00";"IST";"End Of Friday (Time)";"4d 5h 55m";"-732.48"
"36";"USTEC_ICM_UTC2";"Buy";"4503.9";"4530.0";"2015.05.18 19:15:00";"2015.05.22 22:55:00";"30.0";"50.52";"4421.39990";"4586.39990";"40321.76";"0.00";"IST";"End Of Friday (Time)";"4d 3h 40m";"-732.48"
"37";"USTEC_ICM_UTC2";"Buy";"4531.5";"4511.9";"2015.05.25 17:30:00";"2015.05.29 22:55:00";"30.0";"-1320.48";"4449.00000";"4614.00000";"39001.28";"0.00";"IST";"End Of Friday (Time)";"4d 5h 25m";"-732.48"
"38";"USTEC_ICM_UTC2";"Buy";"4513.5";"4477.9";"2015.06.01 19:15:00";"2015.06.05 22:55:00";"30.0";"-1800.48";"4431.00000";"4596.00000";"37200.80";"0.00";"IST";"End Of Friday (Time)";"4d 3h 40m";"-732.48"
"39";"USTEC_ICM_UTC2";"Buy";"4448.0";"4455.0";"2015.06.08 19:00:00";"2015.06.12 22:55:00";"30.0";"-522.48";"4365.50000";"4530.50000";"36678.32";"0.00";"IST";"End Of Friday (Time)";"4d 3h 55m";"-732.48"
"40";"USTEC_ICM_UTC2";"Buy";"4434.0";"4516.5";"2015.06.16 18:00:00";"2015.06.18 17:07:00";"30.0";"2108.76";"4351.50000";"4516.50000";"38787.08";"0.00";"IST";"PT";"1d 23h 7m";"-366.24"
"41";"USTEC_ICM_UTC2";"Buy";"4528.0";"4517.5";"2015.06.18 18:00:00";"2015.06.19 22:55:00";"30.0";"-498.12";"4445.50000";"4610.50000";"38288.96";"0.00";"IST";"End Of Friday (Time)";"1d 4h 55m";"-183.12"
"42";"USTEC_ICM_UTC2";"Buy";"4547.0";"4483.9";"2015.06.22 17:00:00";"2015.06.26 22:55:00";"30.0";"-2625.48";"4464.50000";"4629.50000";"35663.48";"0.00";"IST";"End Of Friday (Time)";"4d 5h 55m";"-732.48"
"43";"USTEC_ICM_UTC2";"Buy";"4450.9";"4368.4";"2015.06.29 16:45:00";"2015.07.07 17:35:00";"30.0";"-3939.96";"4368.39990";"4533.39990";"31723.52";"0.00";"IST";"SL";"8d 0h 50m";"-1464.96"
"44";"USTEC_ICM_UTC2";"Buy";"4402.8";"4427.5";"2015.07.07 20:45:00";"2015.07.10 22:55:00";"30.0";"191.64";"4320.29980";"4485.29980";"31915.16";"0.00";"IST";"End Of Friday (Time)";"3d 2h 10m";"-549.36"
"45";"USTEC_ICM_UTC2";"Buy";"4470.3";"4557.1";"2015.07.13 16:45:00";"2015.07.16 09:00:00";"30.0";"2055.12";"4387.79980";"4552.79980";"33970.28";"0.00";"IST";"PT";"2d 16h 15m";"-549.36"
"46";"USTEC_ICM_UTC2";"Buy";"4639.8";"4657.9";"2015.07.17 18:15:00";"2015.07.17 22:55:00";"30.0";"543.00";"4557.29980";"4722.29980";"34513.28";"0.00";"IST";"End Of Friday (Time)";"4h 40m";"-0.00"
"47";"USTEC_ICM_UTC2";"Buy";"4676.9";"4594.4";"2015.07.20 19:15:00";"2015.07.23 22:11:00";"30.0";"-3024.36";"4594.39990";"4759.39990";"31488.92";"0.00";"IST";"SL";"3d 2h 56m";"-549.36"
